season,driver_id,driver_code,driver_number,given_name,family_name,driver_name,date_of_birth,nationality,url
2024,alonso,ALO,14,Fernando,Alonso,Fernando Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
2024,antonelli,ANT,12,Andrea Kimi,Antonelli,Andrea Kimi Antonelli,2006-08-25,Italian,https://en.wikipedia.org/wiki/Andrea_Kimi_Antonelli
2024,bearman,BEA,87,Oliver,Bearman,Oliver Bearman,2005-05-08,British,http://en.wikipedia.org/wiki/Oliver_Bearman
2024,bottas,BOT,77,Valtteri,Bottas,Valtteri Bottas,1989-08-28,Finnish,http://en.wikipedia.org/wiki/Valtteri_Bottas
2024,colapinto,COL,43,Franco,Colapinto,Franco Colapinto,2003-05-27,Argentine,http://en.wikipedia.org/wiki/Franco_Colapinto
2024,doohan,DOO,7,Jack,Doohan,Jack Doohan,2003-01-20,Australian,http://en.wikipedia.org/wiki/Jack_Doohan
2024,gasly,GAS,10,Pierre,Gasly,Pierre Gasly,1996-02-07,French,http://en.wikipedia.org/wiki/Pierre_Gasly
2024,hamilton,HAM,44,Lewis,Hamilton,Lewis Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
2024,hulkenberg,HUL,27,Nico,Hülkenberg,Nico Hülkenberg,1987-08-19,German,http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg
2024,lawson,LAW,30,Liam,Lawson,Liam Lawson,2002-02-11,New Zealander,http://en.wikipedia.org/wiki/Liam_Lawson
2024,leclerc,LEC,16,Charles,Leclerc,Charles Leclerc,1997-10-16,Monegasque,http://en.wikipedia.org/wiki/Charles_Leclerc
2024,kevin_magnussen,MAG,20,Kevin,Magnussen,Kevin Magnussen,1992-10-05,Danish,http://en.wikipedia.org/wiki/Kevin_Magnussen
2024,norris,NOR,1,Lando,Norris,Lando Norris,1999-11-13,British,http://en.wikipedia.org/wiki/Lando_Norris
2024,ocon,OCO,31,Esteban,Ocon,Esteban Ocon,1996-09-17,French,http://en.wikipedia.org/wiki/Esteban_Ocon
2024,piastri,PIA,81,Oscar,Piastri,Oscar Piastri,2001-04-06,Australian,http://en.wikipedia.org/wiki/Oscar_Piastri
2024,perez,PER,11,Sergio,Pérez,Sergio Pérez,1990-01-26,Mexican,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez
2024,ricciardo,RIC,3,Daniel,Ricciardo,Daniel Ricciardo,1989-07-01,Australian,http://en.wikipedia.org/wiki/Daniel_Ricciardo
2024,russell,RUS,63,George,Russell,George Russell,1998-02-15,British,http://en.wikipedia.org/wiki/George_Russell_(racing_driver)
2024,sainz,SAI,55,Carlos,Sainz,Carlos Sainz,1994-09-01,Spanish,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.
2024,sargeant,SAR,2,Logan,Sargeant,Logan Sargeant,2000-12-31,American,http://en.wikipedia.org/wiki/Logan_Sargeant
2024,stroll,STR,18,Lance,Stroll,Lance Stroll,1998-10-29,Canadian,http://en.wikipedia.org/wiki/Lance_Stroll
2024,tsunoda,TSU,22,Yuki,Tsunoda,Yuki Tsunoda,2000-05-11,Japanese,http://en.wikipedia.org/wiki/Yuki_Tsunoda
2024,max_verstappen,VER,3,Max,Verstappen,Max Verstappen,1997-09-30,Dutch,http://en.wikipedia.org/wiki/Max_Verstappen
2024,zhou,ZHO,24,Guanyu,Zhou,Guanyu Zhou,1999-05-30,Chinese,http://en.wikipedia.org/wiki/Zhou_Guanyu
2025,albon,ALB,23,Alexander,Albon,Alexander Albon,1996-03-23,Thai,http://en.wikipedia.org/wiki/Alexander_Albon
2025,alonso,ALO,14,Fernando,Alonso,Fernando Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
2025,antonelli,ANT,12,Andrea Kimi,Antonelli,Andrea Kimi Antonelli,2006-08-25,Italian,https://en.wikipedia.org/wiki/Andrea_Kimi_Antonelli
2025,paul_aron,,,Paul,Aron,Paul Aron,,,
2025,bearman,BEA,87,Oliver,Bearman,Oliver Bearman,2005-05-08,British,http://en.wikipedia.org/wiki/Oliver_Bearman
2025,dino_beganovic,,,Dino,Beganovic,Dino Beganovic,,,
2025,bortoleto,BOR,5,Gabriel,Bortoleto,Gabriel Bortoleto,2004-10-14,Brazilian,https://en.wikipedia.org/wiki/Gabriel_Bortoleto
2025,luke_browning,,,Luke,Browning,Luke Browning,,,
2025,colapinto,COL,43,Franco,Colapinto,Franco Colapinto,2003-05-27,Argentine,http://en.wikipedia.org/wiki/Franco_Colapinto
2025,jak_crawford,,,Jak,Crawford,Jak Crawford,,,
2025,doohan,DOO,7,Jack,Doohan,Jack Doohan,2003-01-20,Australian,http://en.wikipedia.org/wiki/Jack_Doohan
2025,felipe_drugovich,,,Felipe,Drugovich,Felipe Drugovich,,,
2025,alexander_dunne,,,Alexander,Dunne,Alexander Dunne,,,
2025,antonio_fuoco,,,Antonio,Fuoco,Antonio Fuoco,,,
2025,gasly,GAS,10,Pierre,Gasly,Pierre Gasly,1996-02-07,French,http://en.wikipedia.org/wiki/Pierre_Gasly
2025,hadjar,HAD,6,Isack,Hadjar,Isack Hadjar,2004-09-28,French,https://en.wikipedia.org/wiki/Isack_Hadjar
2025,hamilton,HAM,44,Lewis,Hamilton,Lewis Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
2025,ryo_hirakawa,,,Ryo,Hirakawa,Ryo Hirakawa,,,
2025,hulkenberg,HUL,27,Nico,Hülkenberg,Nico Hülkenberg,1987-08-19,German,http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg
2025,ayumu_iwasa,,,Ayumu,Iwasa,Ayumu Iwasa,,,
2025,lawson,LAW,30,Liam,Lawson,Liam Lawson,2002-02-11,New Zealander,http://en.wikipedia.org/wiki/Liam_Lawson
2025,leclerc,LEC,16,Charles,Leclerc,Charles Leclerc,1997-10-16,Monegasque,http://en.wikipedia.org/wiki/Charles_Leclerc
2025,arthur_leclerc,,,Arthur,Leclerc,Arthur Leclerc,,,
2025,arvid_lindblad,LIN,41,Arvid,Lindblad,Arvid Lindblad,2007-08-08,British,https://en.wikipedia.org/wiki/Arvid_Lindblad
2025,victor_martins,,,Victor,Martins,Victor Martins,,,
2025,norris,NOR,1,Lando,Norris,Lando Norris,1999-11-13,British,http://en.wikipedia.org/wiki/Lando_Norris
2025,patricio_o_ward,,,Patricio,O'Ward,Patricio O'Ward,,,
2025,ocon,OCO,31,Esteban,Ocon,Esteban Ocon,1996-09-17,French,http://en.wikipedia.org/wiki/Esteban_Ocon
2025,piastri,PIA,81,Oscar,Piastri,Oscar Piastri,2001-04-06,Australian,http://en.wikipedia.org/wiki/Oscar_Piastri
2025,russell,RUS,63,George,Russell,George Russell,1998-02-15,British,http://en.wikipedia.org/wiki/George_Russell_(racing_driver)
2025,sainz,SAI,55,Carlos,Sainz,Carlos Sainz,1994-09-01,Spanish,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.
2025,cian_shields,,,Cian,Shields,Cian Shields,,,
2025,stroll,STR,18,Lance,Stroll,Lance Stroll,1998-10-29,Canadian,http://en.wikipedia.org/wiki/Lance_Stroll
2025,tsunoda,TSU,22,Yuki,Tsunoda,Yuki Tsunoda,2000-05-11,Japanese,http://en.wikipedia.org/wiki/Yuki_Tsunoda
2025,max_verstappen,VER,3,Max,Verstappen,Max Verstappen,1997-09-30,Dutch,http://en.wikipedia.org/wiki/Max_Verstappen
2025,frederik_vesti,,,Frederik,Vesti,Frederik Vesti,,,
